unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
NR,PERS,N1-3,DOM,Y15-24,AT	962762 	1031529 	840699 	938634 	1005968 	924452 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,BE	194151 b	125204 	200244 	101649 	139055 	89749 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,BG	435863 	221639 	218620 	324053 	402483 	494603 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,CH	: 	596317 u	533942 u	384071 u	512775 u	551049 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,CY	78287 	93922 	77727 	95547 	95784 	138938 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,CZ	2024967 	1699468 	1599804 	2114427 	2048283 	2341692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,DE	14555180 	15562722 	18170393 	14845297 	17407784 	14588013 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,DK	: 	4657129 	3500948 	5115683 	4819249 b	5195659 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,EA	: 	: 	: 	50521526 e	54471531 e	53599120 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,EE	551354 	535400 	404778 	487867 	276695 	294146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,EL	: 	137123 	157183 	188725 	131396 	292667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,ES	13255021 	12325340 	10339765 b	7449185 	8808179 	8313369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,EU27	: 	: 	73799440 e	78660806 e	80322533 e	81496793 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,EU28	: 	: 	74137051 e	79351906 e	81058981 e	82278268 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
