unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N_GE4,DOM,M,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62232 	: 	: 
NR,PERS,N_GE4,DOM,M,IT	9419000 	8625078 	7233358 	8105541 b	9162124 	9745806 	11043064 	13012982 	13198580 	14132726 	13956803 	14600854 	13819117 	13200669 	12745444 	13379719 	12430217 	12601120 	11918164 	12472786 	12297869 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,LT	183454 	192615 	201046 	215057 	213744 	190652 	181437 	181443 	204635 	252750 	230352 	175843 	165355 	148572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,LU	: 	: u	: u	: u	: u	: u	396 	164 	: u	1233 	3143 	1000 	1000 	3000 	1000 	2000 	1000 	1000 	3000 	2000 	2000 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,LV	: 	125753 	124088 	189220 	98295 	129666 	117177 	108569 	151729 	144878 	128901 	168792 	166694 	: 	100197 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,MT	22538 	16408 	15223 	16140 b	: u	17431 u	9818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,NL	3267335 	3460633 	3529767 	3319962 	3612035 	3694832 b	3375000 	3435000 	3233000 	3218000 	3211000 	3360000 	3112000 	3203000 	3446000 	3185000 	3013000 	2798000 	3008000 	3142000 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,NO	1544271 	1748236 	1453988 	1521568 	1406493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1385491 	1255736 	1284455 	1292706 	1316023 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,PL	7752994 	7261812 	6720582 	6394431 b	7414179 	6972403 	5136000 e	5505000 	5133000 	5652000 	6367000 	6794000 	6082000 	6388000 e	7120000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,PT	1676705 	1484152 	1589190 	1399236 	1702974 	1468558 	1257848 	1286659 	1557594 	1344486 	1227561 	1326012 	1314561 	1409276 	1391203 	1641738 	1520963 	1364249 	1319318 	1208319 	1211828 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,RO	2641545 	2661084 	2516266 	2776471 	2958910 	3141926 	2274404 	1968406 	2382017 	2382996 	2287767 	1467439 	1668098 	1840479 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,SE	: 	3365810 	3360879 	2753339 	: 	: 	3813000 	3730000 	3169000 	3151000 	3192000 	3122000 	: 	: 	: 	: 	: 	: 	: 	: 	5975000 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,SI	104783 	143602 	165997 	124531 	162072 	170216 	185000 	208000 	225000 	223388 	179884 	231407 	217452 	203615 	177475 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,SK	914242 	676649 	606828 	439807 	553732 b	771271 	805224 	748167 	901420 	1108228 	1239180 	1137520 	1139767 	1201891 	1391574 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,M,UK	: 	: 	: 	: 	11061489 	11128202 	10035524 	10427359 	12789004 	11469467 	12283465 	11930351 	12886000 	11900000 	14900000 	15800000 	16000000 	16900000 	15500000 	13200000 	14500000 	14200000 	: 	: 
NR,PERS,N_GE4,DOM,T,AT	3083908 	3181186 	2846079 	2863980 	3367242 	3238081 	3123893 	3221855 	3314700 	3226318 	3121460 	3194781 	2693072 	2768726 	2960495 	1664258 	1895604 	1811110 	1843220 	1734600 	: 	1715000 	: 	: 
NR,PERS,N_GE4,DOM,T,BE	775304 b	1121826 	897547 	766495 	903854 	995566 	1114287 	1053983 	1036445 	1265305 	1205674 	1265417 	1549396 	1478117 	1443771 	1233580 	1157895 	1142392 	1265019 	1655787 	1787875 	1562549 	: 	1656655 
NR,PERS,N_GE4,DOM,T,BG	1834030 	1278598 	1006342 	1156140 	1381584 	1064823 b	1945267 	1678118 	2464654 	2002245 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,CH	: 	2149262 	2010130 	2319427 	2369686 	2319940 	2154368 	2267220 	2599952 	2389053 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,CY	216533 	245017 	198583 	309224 	384003 	261551 b	188688 	202385 	212274 	194433 	203729 	194559 	171809 	231013 	208141 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,CZ	8094409 	8353540 	7083940 	7668598 	7088929 	7358050 	7222445 	5865664 	5912289 	4919302 	4908430 	4984570 	5567297 	5552310 	5883604 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,DE	42645426 	45674140 	45968688 	43631518 	43467984 	45168818 	46668117 	47722946 	47790318 	45220022 	42252401 	40452824 	45933146 	37388000 	47994000 	41702000 	35368000 	35898000 	33500000 	29800000 	28900000 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,DK	: 	3054951 	3325607 	3393261 	3019456 b	3094490 	3009771 	3067610 	2627530 	2241968 	1574485 	1841538 	1531706 	1367956 	1926500 	1662900 	1427800 	1406100 	1316000 	1723900 	1545000 	1766500 	: 	: 
NR,PERS,N_GE4,DOM,T,EA	: 	: 	: 	198880736 e	202347445 e	205224436 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,EE	271311 	227640 	234914 	208038 	169906 	249974 	191920 	221854 	119044 	102360 	108897 	90981 	132120 	124980 	116160 	167149 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,EL	: 	3253327 	3368900 	3743932 	3257822 	3598400 	4909338 	5217565 	6917568 	6831852 	7567381 	7632262 	7638570 	6226523 	4141421 	3943809 	4022816 	4329851 	3939000 	5499535 	6286082 	7556728 	3798168 	: 
NR,PERS,N_GE4,DOM,T,ES	33510697 	32611128 	30352536 b	30078603 	31260305 	31545121 	34085013 	32551755 	33582835 	33641579 	34469880 	34110323 	33259740 	20942160 	20580260 	20812080 	26635970 	25108192 	19340730 	23272020 	19208792 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,EU27	: 	: 	268972976 e	276697089 e	269787366 e	272743655 e	275692762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,EU28	: 	: 	270623168 e	278374099 e	271966866 e	274822339 e	277906729 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,FI	5187407 	5290481 	5220532 	5139179 	5307615 	5287791 b	5637000 	5455000 	4998000 	4596000 	4610000 	4576000 	4482000 	4308000 	4441000 	4298000 	4116000 	3755000 	3432000 	3020000 	3127000 	3035000 	: 	: 
NR,PERS,N_GE4,DOM,T,FR	72691602 	71501223 	73210774 	81539693 	81626757 	80426993 	80545910 	77562534 	79301024 	81592477 	86359619 	85009449 	85981383 	67216000 	66705000 	67414000 	64702000 	63025000 	63483000 	68876079 	66976998 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,HR	1319639 	1227558 	1728847 	1760512 	2181548 	2083001 	2213967 	2601438 	2183224 	2173812 	1988356 	: 	: 	1440499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,HU	2904544 	2991367 	3122448 	3252244 	3325387 	3586431 	3490174 	3581038 	3651568 	4336790 	5028032 	4288393 	4111775 	3976169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,IE	1163036 	1173003 	1110121 	1048117 	1119656 	1048938 	1052000 	1120000 	1207000 	1228000 	1359000 	1084000 	1075000 	1078000 	1069000 	1003000 	1057000 	1104000 	1121000 	1031000 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,IT	19835759 	19061696 	16497475 	17587158 b	18860608 	20216232 	23081119 	27137569 	28600869 	30002615 	29433534 	31029881 	29744893 	27904689 	27537849 	28548503 	26704566 	27382295 	25820607 	26706666 	26590281 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,LT	402804 	408127 	427391 	457199 	498683 	403672 	388015 	390242 	417476 	529453 	485111 	410813 	381064 	360325 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,LU	: 	: u	: u	: u	: u	: u	396 	711 	: u	3026 	4599 	2000 	4000 	5000 	3000 	5000 	2000 	2000 	6000 	3000 	4000 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,LV	: 	290329 	308269 	453263 	305039 	366324 	308223 	298320 	317875 	338999 	307094 	429158 	388935 	: 	219376 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,MT	41975 	31300 	31217 	30062 b	20752 u	34743 u	22141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,NL	6802179 	7281709 	7033655 	6906134 	7256086 	7871127 b	6558000 	6789000 	6702000 	6601000 	6617000 	6986000 	6562000 	6956000 	6996000 	7046000 	6118000 	5749000 	5906000 	5940000 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,NO	3556685 	3277948 	3194315 	3490660 	3033249 	: 	3051335 	3521900 	3288391 	3355122 	2413606 	2944627 	2897750 	3045996 	3066374 	2777400 	2698451 	2702310 	3026131 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,PL	17551165 	16702779 	15299138 	14673119 b	16215854 	15032150 	11364000 e	12180000 	12186000 	12916000 	14023000 	14341000 	13070000 	13613000 e	15140000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,PT	3759005 	3298863 	3513351 	3134081 	3788130 	3188491 	2831187 	2856846 	3424880 	2636291 	2593522 	2887624 	3042574 	3225047 	2958795 	3508312 	3540815 	3024129 	3033959 	2509217 	2663610 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,RO	5196424 	5264548 	5030781 	5572429 	5938718 	6020465 	4406287 	3800316 	4737499 	4687385 	4644487 	2976792 	3495769 	3948828 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,SE	: 	6750288 	7013787 	6112238 	: 	: 	8176000 	7920000 	6661000 	7042000 	6764000 	7340000 	: 	: 	: 	: 	: 	: 	: 	: 	12275000 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,SI	303922 	364311 	324202 	323065 	354981 	370944 	433000 	419000 	476000 	427091 	402126 	498055 	428620 	414376 	418313 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,SK	1740178 	1631163 	1419782 	1278502 	1172396 b	1691375 	1797803 	1512937 	2066909 	2272501 	2403306 	2416324 	2307274 	2553615 	2840942 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,DOM,T,UK	: 	: 	: 	: 	24543559 	25437073 	23142768 	24430304 	30005212 	26688936 	28579442 	28521106 	30320000 	27300000 	33600000 	37100000 	37400000 	38700000 	34000000 	30300000 	33700000 	32000000 	: 	: 
NR,PERS,N_GE4,OUT,F,AT	3477399 	3524491 	3102205 	3305521 	3164018 	3420406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,BE	3864102 b	4349667 	3431003 	3527456 	3644340 	2806923 	3339354 	3014568 	2842567 	3220838 	2887037 	2804103 	3236706 	2959744 	: 	: 	: 	: 	: 	: 	: 	2904515 	: 	: 
NR,PERS,N_GE4,OUT,F,BG	277963 	207043 	196483 	204299 	184542 	145720 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,CH	: 	4553348 	4408358 	3984627 	4134202 	3916870 	3770370 	3572240 	3431862 	3017883 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,CY	524847 	468844 	414225 	499950 	442138 	453046 b	440098 	441234 	393790 	430694 	369180 	314071 	320930 	283089 	239421 	247206 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,CZ	2599259 	2176063 	2102361 	2031011 	2179121 	2391786 	: 	: 	2368643 	2428785 	2258200 	2098835 	2099006 	2054090 	2296418 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,DE	34844800 	32892306 	30697455 	31547581 	31824185 	27897712 	30999071 	31009924 	30679689 	30683862 	30218671 	32082540 	33394879 	33139000 	33851000 	32364000 	34346000 	34122000 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,DK	: 	2370535 	2382444 	2549238 	2312863 b	2376998 	2205108 	2145998 	1736739 	1949226 	: 	: 	: 	1620782 	1676500 	1568500 	1489400 	1569700 	1457900 	1632900 	1433000 	1562200 	: 	: 
NR,PERS,N_GE4,OUT,F,EA	: 	: 	: 	69805397 e	69011456 e	64853602 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,EE	329757 	300432 	307713 	334968 	296784 	286034 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,EL	: 	278991 	262432 	282330 	261984 	231068 	326023 	421735 	425598 	568271 	488482 	499714 	509705 	455058 	231738 	221125 	239083 	212277 	170401 	133989 	190763 	225667 	205641 	: 
NR,PERS,N_GE4,OUT,F,ES	4735578 	4543148 	3973281 b	3097625 	3052074 	3281405 	3594891 	3492024 	3186164 	3120740 	3059936 	2846258 	2669702 	1725895 	1497481 	1437922 	1400337 	1521971 	1044426 	1489788 	953691 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,EU27	: 	: 	93599747 e	96853557 e	100721415 e	95059116 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,EU28	: 	: 	94172670 e	97318443 e	101499330 e	95651642 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,FI	2051371 	1986030 	2050439 	2072320 	1739969 	1898283 b	1406000 	1331000 	1238000 	1195000 	1070000 	1116000 	1064000 	1010000 	857000 	883000 	847000 	819000 	731000 	660000 	766000 	718000 	: 	: 
NR,PERS,N_GE4,OUT,F,FR	9812084 	8647849 	8556049 	9961245 	9272507 	8966533 	9204299 	8354573 	8652663 	8137773 	8979822 	8502912 	8972969 	7466000 	6744000 	6880000 	6769000 	7063000 	6698000 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,HR	435774 	290379 	600461 	509478 	779357 	596516 	476676 	474619 	610488 	461272 	538682 	: 	: 	181280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,HU	1586141 	1446765 	1400774 	1205508 	1071178 	1145154 	1255135 	1288294 	1297667 	1501076 	1414701 	1248219 	1458860 	801428 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,IE	2269953 	2145665 	1972594 	2152247 	2075911 	2106627 	1888000 	1968000 	2110000 	2513000 	2412000 	2049000 	1784000 	1591000 	1453000 	1351000 	1197000 	958000 	828000 	747000 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44877 	: 	: 
NR,PERS,N_GE4,OUT,F,IT	3651822 	3416281 	3173858 	3777210 b	4282060 	4348906 	4403994 	5525445 	5608972 	6004195 	5378593 	5048955 	5416349 	4830197 	4153369 	4371048 	4327083 	4091152 	4122964 	4100241 	3818815 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,LT	644019 	619400 	588958 	570291 	549108 	535477 	465267 	409627 	362408 	471420 	350209 	313507 	281139 	252207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,LU	: 	481918 	469537 	447147 	429067 	433186 	416003 	396922 	412224 	381052 	347344 	348000 	359000 	350000 	312000 	326000 	271000 	288000 	257000 	243000 	203000 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,LV	: 	340087 	365362 	466776 	347734 	379356 	429640 	397751 	364300 	396756 	289539 	263889 	205412 	150945 	155127 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,MT	170822 	152988 	126622 	124920 b	103761 	92750 	82420 	77169 	70371 	58331 	52480 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,NL	7265369 	6687997 	6455253 	6324922 	6442547 	6577497 b	6173000 	6306000 	6062000 	6451000 	5756000 	5704000 	5855000 	5703000 	5458000 	5307000 	4944000 	5094000 	4995000 	5002000 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,NO	2549564 	2343002 	2546373 	2700720 	2340084 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1310039 	1310365 	1203031 	1207716 	1123561 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,PL	4926096 	4613380 	4632234 	4468673 b	3669590 	2661544 	2192000 e	2344000 	2110000 	2278000 	2140000 	1790000 	1839000 	1420000 e	2210000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,PT	604626 	456628 	478199 	419433 	431202 	373817 	396046 	417989 	488900 	404955 	465462 	440366 	481552 	516541 	349368 	420659 	346239 	344712 	360641 	299142 	341039 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,RO	482501 	489421 	494678 	475786 	451722 	352920 	389161 	289314 	345027 	421398 	408342 	231544 	177781 	177242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,SE	: 	2596669 	2460566 	2798138 	: 	: 	3557000 	3125000 	3006000 	3198000 	2973000 	2725000 	: 	: 	: 	: 	: 	: 	: 	: 	2627000 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,SI	739338 	741168 	684551 	603741 	654196 	600757 	677000 	604000 	586000 	567230 	635578 	639194 	637798 	558365 	560678 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,SK	1243835 	985370 	938144 	817302 	886244 b	1070672 	1145483 	1048910 	1255610 	1313389 	1356515 	1200798 	1035375 	1071974 	1208848 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,F,UK	: 	: 	: 	: 	19030806 	18418812 	19036728 	17941268 	19062999 	21528934 	21106939 	17209302 	18656331 	20000000 	20800000 	20800000 	21400000 	20900000 	14600000 	13400000 	12200000 	10100000 	: 	: 
NR,PERS,N_GE4,OUT,M,AT	3053747 	2877164 	2774637 	2612016 	2670417 	2747775 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,BE	3638685 b	3703205 	3275446 	3452376 	3367822 	2709896 	3131715 	2891972 	2785631 	2871211 	2771831 	2578017 	2929189 	2544903 	: 	: 	: 	: 	: 	: 	: 	2740381 	: 	: 
NR,PERS,N_GE4,OUT,M,BG	240707 	188116 	156046 	172362 	136803 	136688 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,CH	: 	4476618 	3982126 	3896614 	3501200 	3524364 	3471127 	3284008 	3143799 	2877483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,CY	371208 	368430 	344758 	349966 	295399 	336524 b	292118 	302870 	290986 	266247 	243735 	199262 	194777 	205377 	182336 	179060 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,CZ	2329040 	2100040 	2104062 	2033453 	2013903 	1977068 	: 	: 	2172073 	2557777 	2266780 	1849802 	2275284 	1976819 	2160147 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,DE	30817450 	30730285 	28528590 	27980165 	29683239 	27914740 	29355837 	27353843 	27437119 	27919129 	27061581 	32895142 	34357682 	33419000 	34173000 	35353000 	37684000 	35631000 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,DK	: 	1986422 	2196044 	2158538 	2378103 b	2101655 	2334026 	2229602 	1777420 	1939108 	: 	: 	: 	1441136 	1592300 	1465400 	1467000 	1579500 	1439300 	1402400 	1453000 	1423300 	: 	: 
NR,PERS,N_GE4,OUT,M,EA	: 	: 	: 	61703395 e	62319837 e	61547014 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,EE	211088 	222458 	235194 	209673 	201361 	164587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,EL	: 	226917 	241457 	251525 	217777 	199477 	244980 	408783 	376566 	533890 	466517 	446069 	485528 	340658 	220157 	198697 	210332 	210790 	126008 	127164 	139967 	211436 	169151 	: 
NR,PERS,N_GE4,OUT,M,ES	3927646 	3713541 	3687270 b	2686730 	2621040 	2988607 	3214618 	3127498 	2798110 	2519847 	2650039 	2642622 	2464604 	1568408 	1310603 	1272158 	1237275 	1357736 	936404 	1288498 	916951 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,EU27	: 	: 	85158584 e	85081685 e	93736275 e	91056544 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,EU28	: 	: 	85678845 e	85538325 e	94289994 e	91574355 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,FI	1802876 	1745459 	1668332 	1598539 	1702295 	1690939 b	1287000 	1153000 	1079000 	998000 	1018000 	928000 	897000 	882000 	752000 	749000 	863000 	688000 	597000 	506000 	521000 	523000 	: 	: 
NR,PERS,N_GE4,OUT,M,FR	8341507 	7601139 	7562917 	8846511 	8049177 	7841985 	8366160 	7897439 	7330936 	7404769 	7953393 	8236824 	7690032 	6390000 	5749000 	5666000 	5387000 	5664000 	5035000 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,HR	310749 	280605 	545441 	489742 	558281 	522571 	490274 	433197 	541141 	528566 	439930 	: 	: 	177090 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,HU	1379615 	1250328 	1218634 	1068788 	945345 	1004432 	1013736 	1027851 	1110398 	1306285 	1299735 	1174738 	1544449 	679195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,IE	1933819 	1859607 	1651867 	1589406 	1672842 	1713092 	1444000 	1584000 	1763000 	2076000 	2084000 	1657000 	1440000 	1268000 	1174000 	1102000 	964000 	703000 	662000 	513000 	: 	: 	1407000 	: 
NR,PERS,N_GE4,OUT,M,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38877 	: 	: 
NR,PERS,N_GE4,OUT,M,IT	3246662 	2926238 	2811410 	3382247 b	3284624 	4303996 	4046830 	4928320 	5139518 	5371532 	5524123 	5055603 	4895791 	4401991 	4342804 	4159637 	4074940 	3983556 	4146835 	3723315 	3679731 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,LT	490928 	452804 	440258 	423253 	428223 	414627 	360334 	300917 	281485 	393847 	360299 	365460 	417237 	314830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,LU	: 	457778 	429155 	464941 	431075 	401666 	394684 	368726 	406763 	370713 	352591 	329000 	363000 	327000 	323000 	339000 	291000 	280000 	242000 	236000 	216000 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,LV	: 	217531 	255635 	305697 	227762 	234725 	171535 	157027 	150198 	208669 	269869 	215948 	165143 	119252 	150079 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,MT	162521 	147383 	126289 	107854 b	109892 	97637 	77829 	76243 	70246 	78414 	70300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,NL	7357633 	6529954 	6200088 	6534176 	6422903 	6648492 b	6515000 	6524000 	6313000 	6267000 	6011000 	5694000 	5630000 	5817000 	5574000 	5674000 	5007000 	4685000 	4889000 	4822000 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,NO	2418905 	2329441 	2424622 	2482836 	1941541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1278438 	1318689 	1144514 	1186670 	1147841 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,PL	4019873 	3953218 	3697130 	3408876 b	3041270 	2445118 	2124600 e	1912000 	1729000 	1971000 	1524000 	1677000 	1613000 	1606000 e	1630000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,PT	496196 	361110 	383391 	356597 	364147 	303061 	334133 	403563 	411758 	401353 	378899 	334850 	411791 	423158 	258272 	366578 	316270 	319741 	301134 	206747 	221453 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,RO	444527 	416996 	399447 	475227 	386073 	332524 	369581 	312934 	337442 	365655 	348824 	178195 	183477 	122987 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,SE	: 	2770226 	2525615 	2546062 	: 	: 	3217000 	2984000 	2727000 	3140000 	2885000 	2716000 	: 	: 	: 	: 	: 	: 	: 	: 	2653000 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,SI	551105 	627515 	634959 	538186 	530635 	592175 	680000 	655000 	636000 	589907 	627381 	670130 	575913 	562527 	547721 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,SK	854096 	760100 	811328 	402018 	687545 b	884794 	912322 	813639 	1024479 	1067119 	1126440 	937745 	857106 	882961 	755721 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE4,OUT,M,UK	: 	: 	: 	: 	20078116 	19140572 	19061260 	18880803 	19289199 	22086925 	21775365 	16090698 	17443669 	18700000 	19100000 	19800000 	20400000 	18400000 	13800000 	12400000 	11400000 	9400000 	: 	: 
NR,PERS,N_GE4,OUT,T,AT	6531145 	6401656 	5876843 	5917537 	5834435 	6168182 	5727286 	5865516 	5969799 	5342283 	5563465 	5550081 	4775013 	5072268 	5062141 	3269501 	3500091 	3877761 	3345276 	3221900 	: 	3147700 	: 	: 
