unit,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N1-3,WORLD,Y15-24,AT	632759 	635284 	610335 	601755 	674102 	656203 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,BE	475077 b	367668 	316932 	264067 	229506 	218129 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,BG	242231 	146320 	150361 	155263 	141528 	76962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,CH	: 	641212 	572485 u	541184 u	597660 u	483447 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,CY	49190 e	55971 e	53145 e	54506 e	20232 e	52832 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,CZ	831578 	810941 	782183 	844031 	795328 	843827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,DE	5739437 	7039815 	6560898 	6909580 	7366341 	6812185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,DK	: 	416499 	319395 	430842 	361493 	427927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,EE	114357 u	100302 u	75254 	116583 	90333 	108178 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,EL	119038 	105835 	137064 	144886 	96043 	150838 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,ES	3152377 	2809485 	2738969 b	1546519 	1626156 	1594372 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,FI	574112 	595837 	587769 	590266 	598893 	637621 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,FR	4116022 	3120115 	3155598 	3508710 	3307068 	3295383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,HR	143266 	145008 	165287 b	286971 	285383 	269343 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,HU	: 	413730 	447375 	437955 	380438 	452035 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,IE	244560 	221462 	216414 	235188 	190674 	188703 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,IT	1253545 	1407597 	1252608 	1224368 b	1398936 	1418482 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,LT	137695 	149001 	155865 	157298 	150490 	118020 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,LU	: 	29760 u	41534 u	39051 	34385 	31661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,LV	115261 	137444 	127160 	130085 	131783 	110720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,MT	17715 	18574 	15495 	21378 	16737 	13110 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,NL	1287305 	1238192 	1197030 	1358468 	1385362 	1421704 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,NO	497104 	375013 	: 	: 	517190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,PL	2514664 	2511187 	2312362 	2128409 	2430000 	2610000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,PT	369216 	369856 	362642 	347149 	353248 	283905 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,RO	426879 	372146 	413601 	399041 	386100 	349833 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,SE	869853 	586647 	554713 	360320 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,SI	94365 	104450 	65937 u	95772 e	95352 e	122961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,SK	318417 	253979 	280644 u	142227 	258941 b	146683 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y15-24,UK	: 	1591300 	1935600 	1953300 	1800900 	745000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,AT	784745 	825009 	746106 	720948 	723409 	683071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,BE	742357 b	450091 	500667 	478343 	528524 	407237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,BG	256794 	234943 	228012 	262240 	105941 	120221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,CH	: 	867051 	884149 	758361 	762261 	830460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,CY	60603 e	69734 e	59010 e	62711 e	66137 e	77236 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,CZ	1139017 	1089440 	1106545 	1109657 	1008257 	1109411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,DE	7587381 	8286363 	7626869 	7647231 	7602441 	7450279 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,DK	: 	355550 	293129 	368669 	295107 	350331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,EE	157239 	144247 	131344 	162294 	134472 	137422 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,EL	156123 	155890 	196877 	193613 	148995 	269058 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,ES	3493916 	3261502 	3258388 b	2260867 	2375980 	2573373 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,FI	652465 	657086 	643967 	649398 	670112 	628968 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,FR	4850361 	4447597 	4530007 	4554295 	4647237 	4966113 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,HR	152692 	172002 	139211 b	135700 	230344 	247331 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,HU	: 	591334 	565503 	619266 	596133 	609219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,IE	332776 	348760 	318052 	325871 	329394 	387569 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,IT	1631125 	1686479 	1353841 	1419210 b	1860277 	2197758 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,LT	147977 	140360 	139462 	134143 	147367 	142436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,LU	: 	27397 	58879 	45161 	58004 	42253 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,Y25-34,LV	163773 	177159 	173301 	176430 	178931 	147728 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
