unit,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N1-3,WORLD,M,AT	2080056 	2134146 	2054236 	1990860 	1999401 	1989045 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,BE	1752557 b	1519558 	1434221 	1290775 	1325509 	1093829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,BG	679655 	523257 	506925 	544070 	319944 	275964 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CH	: 	2334002 	2203781 	2175048 	2215220 	2029692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CY	118024 e	131972 e	114024 e	118946 e	102246 e	153261 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CZ	3145050 	3086986 	3008111 	2999879 	2708362 	2775193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,DE	22401153 	25835609 	24046982 	24037372 	25369759 	25009354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,DK	: 	984849 	983487 	1105538 	1102566 	968259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EE	314371 	281997 	280562 	325828 	270749 	268359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EL	530395 	446462 	506849 	512576 	418384 	628434 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,ES	9926358 	9105685 	8985026 b	7071269 	7012868 	7002583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,FI	1949049 	1945550 	1843609 	1891593 	1863571 	1905642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,FR	13889970 	13460890 	12927533 	12465801 	12626240 	12873982 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,HR	383866 	406296 	442491 b	523950 	661941 	549895 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,HU	: 	1706536 	1599183 	1590088 	1442899 	1567586 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,IE	911463 	843539 	801100 	825977 	737717 	808191 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,IT	4777126 	5534644 	5148701 	4657736 b	4929111 	5883898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LT	369547 	370215 	368793 	361377 	383566 	340519 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LU	: 	128635 	140898 	116463 	128673 	101004 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LV	363474 	384214 	373131 	354358 	354085 	319880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,MT	52780 	58678 	42121 	46397 	42226 	43872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,NL	3723152 	3711554 	3482370 	3677432 	3745136 	3866764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,NO	1642450 	1533389 	: 	: 	1572000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,PL	6592389 	6427244 	6039136 	5492204 	5240000 	5700000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,PT	1249356 	1278409 	1251718 	1167540 	1226107 	1075987 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,RO	1438920 	1259974 	1372791 	1300224 	1279846 	1010164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SE	2777202 	1826941 	1702013 	1572400 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SI	304910 	333095 	278573 	277484 e	283058 e	329701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SK	1027742 	776606 	702365 	616361 	608792 b	281153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,UK	: 	6354870 	5615100 	6846000 	5735400 	2326000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,AT	4324150 	4292276 	4195713 	4130375 	4264321 	4119170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,BE	3593973 b	3206234 	2970031 	2665112 	2863748 	2206533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,BG	1359755 	1027332 	1024039 	1072023 	656285 	545011 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CH	: 	4666464 	4557444 	4345410 	4372054 	4276835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CY	248715 e	274419 e	239165 e	246994 e	212165 e	303695 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CZ	6374793 	6247174 	6107778 	6226692 	5527683 	5658708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,DE	46337128 	50657581 	48199996 	49029356 	50068574 	49895720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,DK	: 	2079622 	2009893 	2218049 	2114792 	2041126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EE	700280 	606113 	570830 	713966 	596824 	584471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EL	1121788 	951804 	1077222 	1080235 	856216 	1300026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,ES	20150650 	18417748 	17901013 b	14485336 	14398283 	14344187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,FI	3886110 	3878073 	3792187 	3821595 	3769445 	3850333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,FR	28902754 	26129306 	26356314 	26163620 	26050136 	26484794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,HR	752541 	767760 	799160 b	1044893 	1115937 	1252108 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,HU	: 	3572737 	3362673 	3331117 	3085293 	3296927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,IE	1866111 	1766274 	1683506 	1693883 	1558586 	1670101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,IT	9841982 	11263009 	10156932 	9207873 b	9795305 	11788635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LT	747404 	755791 	760204 	758073 	756336 	705242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LU	: 	252348 	270807 	221069 	250057 	207700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LV	769073 	828852 	784997 	752748 	736221 	655401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,MT	102975 	99512 	81801 	87579 	85515 	85100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,NL	7820627 	7804466 	7460235 	7716141 	7618271 	8053928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,NO	3252539 	2923239 	: 	: 	3181800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,PL	13763180 	13408325 	12379398 	11585800 	10100000 	10810000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,PT	2660677 	2730658 	2624702 	2474601 	2602737 	2223751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,RO	2750546 	2400261 	2618004 	2492287 	2489783 	2055174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SE	5647239 	3572375 	3370545 	3174420 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SI	625437 	664749 	538088 	581164 e	559414 e	639494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SK	2097906 	1516980 	1358427 	1203789 	1245513 b	634090 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,UK	: 	12241150 	12131100 	13463400 	11769700 	4583000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,AT	662971 	654769 	646733 	691522 	668575 	699049 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,BE	318960 b	193040 	278459 	246259 	261421 	253310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,BG	886634 	771807 	772535 	714012 	592943 	498268 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CH	: 	296102 	336763 	332051 	387145 	399062 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CY	87810 e	87808 e	94704 e	79782 e	103182 e	102344 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CZ	1752286 	1828681 	1855532 	2008768 	1646021 	1634645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,DE	6685440 	7960690 	8766999 	8054372 	8176592 	8922101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,DK	: 	582941 	532166 	519278 	488208 	496947 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EE	120967 	134157 	135969 	150493 	125469 	125118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EL	1610517 	1444283 	1510708 	1596669 	1338710 	1593417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,ES	8545945 	8928282 	8504760 b	8293983 	8616244 	8284602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,FI	656800 	633893 	622675 	710942 	735699 	771796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,FR	13319292 	11783037 	13268199 	13243783 	13499923 	13794503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,HR	449232 	503371 	496656 b	570818 	397930 	493628 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,HU	: 	1481166 	1458849 	1534950 	1520928 	1475959 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,IE	356556 	333217 	364103 	345155 	410594 	349856 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,IT	6747957 	6978586 	7341152 	6474384 b	8150673 	9316865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,LT	353400 	364197 	385018 	379670 	348771 	340941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,LU	: 	: c	: c	1435 	1766 	1688 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,LV	202132 	216881 	210495 	204912 	214337 	205373 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,MT	24319 	23859 	25879 	28668 	29062 	38321 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,NL	1578850 	1750738 	1598393 	1717147 	1622031 	1630619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,NO	302983 	259893 	: 	: 	232040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,PL	7184489 	6823815 	6379360 	6380948 	5980000 	6270000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,PT	1467674 	1526920 	1467324 	1410783 	1400287 	1330559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,RO	1976632 	1785377 	1972212 	1915961 	1956973 	1834395 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,SE	651425 	1198391 	1179251 	1076380 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,SI	88254 	120995 	108185 	125304 e	120868 e	116192 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,SK	833185 	744438 	659976 	602382 	693725 b	532396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,UK	: 	6502020 	6876900 	6455900 	7003000 	7216000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,AT	641437 	709248 	697846 	656676 	659147 	656048 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,BE	312025 b	200949 	221976 	194595 	228518 	264975 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,BG	934396 	850677 	763235 	716762 	603988 	514700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,CH	: 	333560 	336297 	317507 	285071 u	417509 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,CY	82352 e	85276 e	96602 e	79974 e	85614 e	100663 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,CZ	1708520 	1795893 	1766223 	1798071 	1506727 	1542652 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,DE	6994607 	7163564 	7803031 	8016551 	8311324 	8665416 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,DK	: 	486349 	506450 	546559 	508442 	462014 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,EE	121112 	123224 	124292 	131246 	105344 	105544 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,EL	1463053 	1303149 	1367702 	1465393 	1251758 	1471106 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,ES	8446661 	8659748 	8422470 b	7890690 	8091181 	7893795 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,FI	607251 	694069 	635515 	739857 	655474 	716719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,FR	12172893 	13055349 	12262496 	11717365 	12168018 	12311288 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,M,HR	454765 	554233 	542082 b	520790 	504665 	453325 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
