unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,ACC_TO_TA,AT	1896912 	: 	: 	1260803 
NR,PERS,N1-3,DOM,ACC_TO_TA,BE	214472 b	: 	: 	151029 
NR,PERS,N1-3,DOM,ACC_TO_TA,BG	384863 	: 	: 	103166 u
NR,PERS,N1-3,DOM,ACC_TO_TA,CH	: 	: 	: u	180890 u
NR,PERS,N1-3,DOM,ACC_TO_TA,CY	172522 	: 	: 	169314 
NR,PERS,N1-3,DOM,ACC_TO_TA,CZ	342143 u	: 	: 	342790 u
NR,PERS,N1-3,DOM,ACC_TO_TA,DE	8694567 	: 	: 	9633481 
NR,PERS,N1-3,DOM,ACC_TO_TA,DK	: 	: 	: 	269515 
NR,PERS,N1-3,DOM,ACC_TO_TA,EA	: 	: 	: 	58967893 e
NR,PERS,N1-3,DOM,ACC_TO_TA,EE	256894 	: 	: 	42888 u
NR,PERS,N1-3,DOM,ACC_TO_TA,EL	: 	: 	: 	267171 
NR,PERS,N1-3,DOM,ACC_TO_TA,ES	17829484 	: 	: 	3261735 
NR,PERS,N1-3,DOM,ACC_TO_TA,EU27	: 	: 	: 	72607882 e
NR,PERS,N1-3,DOM,ACC_TO_TA,EU28	: 	: 	: 	72673993 e
NR,PERS,N1-3,DOM,ACC_TO_TA,FI	1624808 	: 	: 	808698 
NR,PERS,N1-3,DOM,ACC_TO_TA,FR	1614576 	: 	: 	: 
NR,PERS,N1-3,DOM,ACC_TO_TA,HR	: 	: 	: 	135066 
NR,PERS,N1-3,DOM,ACC_TO_TA,HU	246049 	: 	: 	165804 
NR,PERS,N1-3,DOM,ACC_TO_TA,IE	528966 	: 	: 	326109 
NR,PERS,N1-3,DOM,ACC_TO_TA,IT	2982798 	: 	: 	1839913 
NR,PERS,N1-3,DOM,ACC_TO_TA,LT	: c	: 	: 	482300 
NR,PERS,N1-3,DOM,ACC_TO_TA,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ACC_TO_TA,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ACC_TO_TA,MT	59857 	: 	: 	24948 
NR,PERS,N1-3,DOM,ACC_TO_TA,NL	5083651 	: 	: 	4578658 
NR,PERS,N1-3,DOM,ACC_TO_TA,PL	99705 u	: 	: 	365258 
NR,PERS,N1-3,DOM,ACC_TO_TA,PT	228165 	: 	: 	987406 
NR,PERS,N1-3,DOM,ACC_TO_TA,RO	377308 	: 	: 	291022 
NR,PERS,N1-3,DOM,ACC_TO_TA,SE	: 	: 	: 	2382918 
NR,PERS,N1-3,DOM,ACC_TO_TA,SI	136187 	: 	: 	174071 
