unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,NR_OTH,SI	: c	: u	: u	48118 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OTH,SK	: c	: u	: u	: u	: u	199948 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OTH,UK	: 	: 	: 	: 	2042626 	1983889 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,AT	482407 	260611 	527648 	401857 	352504 	235508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,BE	158128 b	88603 	213166 	122822 u	159662 	170529 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,BG	637188 	199744 	150697 	381912 	324473 	473488 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,CH	: 	472804 u	388250 u	561147 u	325188 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,CY	651946 	628105 	518017 	232559 	348250 b	406374 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,CZ	11637381 	10166601 	8046403 	12010656 	10513056 	13688638 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,DE	5963293 	4658554 	2942408 u	4201707 	3963420 	4857680 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,DK	: 	3669050 	5000733 	4855105 	4735061 b	4061741 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,EA	: 	: 	: 	93995195 e	93443297 e	102313076 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,EE	106116 u	131456 u	116781 	66827 u	56229 u	111816 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,EL	: 	312138 	387741 	563796 	683633 	1920689 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,ES	45968567 	43060579 	38072321 b	57621825 	58437241 	63330077 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,EU27	: 	: 	112314237 e	138869045 e	117166911 e	131490503 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,EU28	: 	: 	112820723 e	139949337 e	118177760 e	132600416 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,FI	4646508 	5224838 	4413287 	4482689 	4634061 	4749628 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,FR	12819901 	11339680 	12066237 	13998864 	13556885 	14580294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,HR	477355 	425903 	562299 	1092179 	1010522 	1109964 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,HU	1662880 	1716453 	1809614 	1804902 	2169498 	3277023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,IE	594883 	525525 	518046 	529958 	409171 	573117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,IT	1995461 u	5285037 	3169356 	3070685 b	3849609 	4198233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,LT	279310 	277907 	284765 	290298 	288879 	302913 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,LU	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,LV	: 	410779 	337793 	388412 	297633 	440321 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,MT	55433 	78512 	53560 	41265 b	73111 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,NL	4037695 	2907035 	3007964 	3755950 	2974238 	3349373 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,NO	3114093 	3675994 	3317885 	3547953 	2844426 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,PL	1657285 	1180818 	1275870 	1496865 b	948957 	1986256 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,PT	4155767 	3991310 	7701932 	3993400 	3162361 	2733399 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,RO	1023981 	998954 	905081 	1176642 	1176956 	1278286 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,SE	: 	6029384 	5818594 	4863394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,SI	588986 	640658 	460606 	864367 	673519 	1017203 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,SK	466436 u	411370 u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_OWN,UK	: 	: 	: 	: 	1045025 	1183579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,AT	3940303 	4162313 	3712174 	4237737 	3839799 	3231264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,BE	742564 b	546378 	687984 	445629 	590115 	223323 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,BG	2837734 	1807833 	1550684 	1868957 	2042253 	2123026 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,CH	: 	2113006 	2505636 	2349813 	2957498 	2429661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,CY	532550 	532890 	578141 	672989 	615862 b	417221 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,CZ	20757959 	18044749 	18058760 	20037148 	17986267 	17778086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,DE	75191930 	83037390 	92598279 	83001941 	85002797 	83755176 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,DK	: 	17454326 	19288908 	19558201 	19738918 b	19569567 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,EA	: 	: 	: 	343360584 e	352557576 e	353615560 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,EE	2476808 	2484873 	2230830 	2357458 	1563023 	1595595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,EL	: 	1493876 	1423217 	1573246 	1128041 	1959648 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,ES	82259687 	81801987 	80305899 b	66182778 	71632857 	68543073 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,EU27	: 	: 	527600987 e	525131395 e	503445662 e	509781739 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,EU28	: 	: 	529411892 e	528075473 e	506474931 e	512705421 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,FI	23887815 	22928245 	23706300 	23331750 	24007083 	24152078 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,FR	110511805 	103697828 	106470231 	121680075 	122518275 	123424565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,HR	1145810 	1382223 	2144586 	3132575 	3052726 	2949864 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,HU	8348291 	8996683 	10163133 	10375362 	9569973 	11513332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,IE	3211213 	3318021 	3032258 	2673904 	2659532 	2679213 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,IT	15352349 	14229464 	11732334 	14586864 b	11958642 	16134679 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,LT	1061063 	1185466 	1705531 	1766502 	1437397 	1549749 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,LU	: 	: u	: u	10371 u	42441 	36308 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,LV	: 	2867848 	2825669 	3006238 	3290691 	3195392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,MT	63189 	61813 	46626 	47788 b	53168 u	69154 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,NL	11540516 	10512030 	11364799 	12397364 	13741207 	15965712 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,NO	5563185 	4323300 	4700001 	4623710 	3386220 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,PL	34037589 	32067306 	30306058 	29535529 b	21106773 	24204675 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,PT	9923702 	9632797 	5219910 	8471020 	9254594 	8973166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,RO	15427526 	15259282 	14291199 	15471893 	14956691 	15291854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,SE	: 	13609277 	14600283 	13573853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,SI	908564 	809490 	725637 	808719 	1155259 	988166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,SK	3770329 	4574707 	4034662 	2693780 	2751623 b	1423715 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NR_RF,UK	: 	: 	: 	: 	51196648 	51300284 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,AT	218792 u	227033 u	166067 u	222116 u	288601 	243423 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,BE	214006 b	249769 	204940 	114685 u	265831 	82154 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,BG	: c	: u	: u	: u	211151 	331517 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,CH	: 	454891 u	284910 u	311908 u	386938 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,CY	: c	: u	: u	: u	3178 bu	5633 bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,CZ	563406 	663265 	880907 	576893 	607980 	487936 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,DE	5451999 	4983324 	5961646 	5549393 	6921902 	6643013 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,DK	: 	805138 	698909 	795737 	648699 b	358223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,EA	: 	: 	: 	19473842 e	19986467 e	20683354 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,EE	: c	73728 u	52179 u	35141 u	59907 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,EL	: 	39471 u	33102 u	31171 u	60556 u	62658 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,ES	3343213 	2766011 	2923081 b	3680661 	3417703 	3271415 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,EU27	: 	: 	25369997 e	26837079 e	36613878 e	36949300 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,EU28	: 	: 	25405892 e	26836931 e	36660827 e	37087456 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,FI	471491 	476626 	353697 	570744 	547149 	455007 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,FR	6674736 	5303739 	5413447 	6224819 	5142848 	6267816 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,HR	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,HU	211351 	158399 	200834 	165217 	164756 	191694 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,IE	522815 	436611 	317749 	309788 	313230 	287521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,IT	1562298 u	1514858 u	668355 u	1010849 bu	1140359 u	1229525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,LT	24323 	18635 	52105 	43380 	48225 	34105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,LU	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,LV	: 	248975 	148506 	178373 	171546 	187636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,MT	: 	: c	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,NL	133782 u	1620965 	1281238 	1458447 	1449632 	1725941 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,NO	907338 	951325 	1272087 	972423 	702123 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,PL	712876 	721258 	607247 	500127 b	1004839 	1073168 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,PT	61162 	30980 u	182053 	171456 	67362 u	87199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,RO	303186 	266880 	294380 	175486 	189366 	103613 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,SE	: 	1490228 	1490958 	1483460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,R_CAMP,SI	102599 u	92769 u	74337 u	72664 u	182112 	112497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
