unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,ACC_TO_TA,AT	903577 	: 	: 	600512 
NR,PERS,N1-3,DOM,ACC_TO_TA,BE	109081 b	: 	: 	89587 
NR,PERS,N1-3,DOM,ACC_TO_TA,BG	177485 	: 	: 	42742 u
NR,PERS,N1-3,DOM,ACC_TO_TA,CH	: 	: 	: u	105567 u
NR,PERS,N1-3,DOM,ACC_TO_TA,CY	99201 	: 	: 	103765 
NR,PERS,N1-3,DOM,ACC_TO_TA,CZ	146069 u	: 	: 	146292 u
NR,PERS,N1-3,DOM,ACC_TO_TA,DE	4172622 	: 	: 	4274329 
NR,PERS,N1-3,DOM,ACC_TO_TA,DK	: 	: 	: 	177745 
NR,PERS,N1-3,DOM,ACC_TO_TA,EA	: 	: 	: 	30927596 e
NR,PERS,N1-3,DOM,ACC_TO_TA,EE	182363 	: 	: 	25772 u
NR,PERS,N1-3,DOM,ACC_TO_TA,EL	: 	: 	: 	124126 
NR,PERS,N1-3,DOM,ACC_TO_TA,ES	9106301 	: 	: 	1477446 
NR,PERS,N1-3,DOM,ACC_TO_TA,EU27	: 	: 	: 	38238164 e
NR,PERS,N1-3,DOM,ACC_TO_TA,EU28	: 	: 	: 	38276348 e
NR,PERS,N1-3,DOM,ACC_TO_TA,FI	943061 	: 	: 	435574 
NR,PERS,N1-3,DOM,ACC_TO_TA,FR	790557 	: 	: 	: 
NR,PERS,N1-3,DOM,ACC_TO_TA,HR	: 	: 	: 	74075 
NR,PERS,N1-3,DOM,ACC_TO_TA,HU	106163 	: 	: 	70785 
NR,PERS,N1-3,DOM,ACC_TO_TA,IE	314689 	: 	: 	184646 
NR,PERS,N1-3,DOM,ACC_TO_TA,IT	1509121 	: 	: 	1042106 
NR,PERS,N1-3,DOM,ACC_TO_TA,LT	: c	: 	: 	267478 
NR,PERS,N1-3,DOM,ACC_TO_TA,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ACC_TO_TA,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ACC_TO_TA,MT	30641 	: 	: 	11809 
NR,PERS,N1-3,DOM,ACC_TO_TA,NL	2549433 	: 	: 	2287928 
NR,PERS,N1-3,DOM,ACC_TO_TA,PL	53924 u	: 	: 	166474 
NR,PERS,N1-3,DOM,ACC_TO_TA,PT	118928 	: 	: 	563542 
NR,PERS,N1-3,DOM,ACC_TO_TA,RO	168716 	: 	: 	120654 
NR,PERS,N1-3,DOM,ACC_TO_TA,SE	: 	: 	: 	1446736 
NR,PERS,N1-3,DOM,ACC_TO_TA,SI	58181 	: 	: 	79117 
NR,PERS,N1-3,DOM,ACC_TO_TA,SK	193133 u	: 	: 	168617 u
NR,PERS,N1-3,DOM,ACC_WEB,AT	2540204 	: 	: 	2146482 
NR,PERS,N1-3,DOM,ACC_WEB,BE	1142333 b	: 	: 	658890 
NR,PERS,N1-3,DOM,ACC_WEB,BG	126187 	: 	: 	85740 
NR,PERS,N1-3,DOM,ACC_WEB,CH	: 	: 	915557 	941239 
NR,PERS,N1-3,DOM,ACC_WEB,CY	192524 	: 	: 	122957 
NR,PERS,N1-3,DOM,ACC_WEB,CZ	1153579 	: 	: 	909253 
NR,PERS,N1-3,DOM,ACC_WEB,DE	24355749 	: 	: 	21305120 
NR,PERS,N1-3,DOM,ACC_WEB,DK	: 	: 	: 	1258729 
NR,PERS,N1-3,DOM,ACC_WEB,EA	: 	: 	: 	53976877 e
NR,PERS,N1-3,DOM,ACC_WEB,EE	594493 	: 	: 	285162 
NR,PERS,N1-3,DOM,ACC_WEB,EL	: 	: 	: 	146262 
NR,PERS,N1-3,DOM,ACC_WEB,ES	12059719 	: 	: 	1058156 
NR,PERS,N1-3,DOM,ACC_WEB,EU27	: 	: 	: 	69758936 e
NR,PERS,N1-3,DOM,ACC_WEB,EU28	: 	: 	: 	69855892 e
